permit_number,permit_type,description,filed_date,issued_date,completed_date,permit_expiration_date,estimated_cost,revised_cost,existing_use,proposed_use,proposed_construction_type_description,neighborhoods_boundaries,zipcode,record_id,city,state,changed_use,estimated_revised_diff,issued_year,issued_month,completed_year,completed_month,issued_completed_days,issued_completed_years,filed_issued_days,issued_expiration_days,address,latitude,longitude
200512029382,additions alterations or repairs,"adaptive re-use of existing building & construction of buildings & below - grade garages for 142 residential condominiums, 168 parking spaces, 6,300 s.f. of office space & 2,100 s.f. of cafe space. this is for north court site permit only 67 units residential, site plan was approved by debella sffd",2005-12-02,2008-03-17,2010-02-25,2013-05-09,23307000,23307000,office,apartments,constr_type_2,Potrero Hill,94107,1092791455978,San Francisco,CA,TRUE,0,2008,Mar,2010,Feb,710,2,836,1879,"800 Minnesota St,San Francisco,CA,94107",37.760218,-122.390539
200004106857,additions alterations or repairs,"(formerly known as 222 jessie) site pa remodel and seismic upgrade of (e) bldg to a house museum new partitions, electrical/mech-office",2000-04-10,2006-02-03,2008-09-11,2012-02-03,22000000,22000000,sewage plant,museum,constr_type_1,Financial District/South Beach,94103,1043516449525,San Francisco,CA,TRUE,0,2006,Feb,2008,Sep,951,2,2125,2191,"736 Mission St,San Francisco,CA,94103",37.78601,-122.402474
201209058914,additions alterations or repairs,"interior demo (e) tenant build outs, base building core-shell upgrades & new finishes. exterior envelope renovation of floors 3-10 including. removal of (e) precast concrete panels and replaced with a new glass curtain wall skin.",2012-09-05,2013-05-17,2014-05-16,2017-04-26,17000000,17000000,office,retail sales,constr_type_1,South of Market,94103,1281537156294,San Francisco,CA,TRUE,0,2013,May,2014,May,364,1,254,1440,"875 Stevenson St,San Francisco,CA,94103",37.77619046938776,-122.416624
201012217091,additions alterations or repairs,excavation of the raza to enlarge basement level. addition of a partial 4th floor & complete renovation of the building into a membership club.,2010-12-21,2011-08-16,2014-05-21,2017-07-15,15468000,15500000,office,club,constr_type_3,Financial District/South Beach,94111,122632761378,San Francisco,CA,TRUE,32000,2011,Aug,2014,May,1009,3,238,2160,"717 Battery St,San Francisco,CA,94111",37.7978743242002,-122.40101280788491
201306270646,additions alterations or repairs,"change of occupancy and change of use of an existing historic building from a school into affordable senior housing.the grd fl incl retail space and t.i. space for a non-profit organization. the bldg is landmark #256, work was approved on 5/16/12.",2013-06-27,2014-08-19,2017-06-07,2020-07-18,15000000,15000000,office,apartments,constr_type_3,Hayes Valley,94102,1343666498993,San Francisco,CA,TRUE,0,2014,Aug,2017,Jun,1023,3,418,2160,"55 Laguna St,San Francisco,CA,94102",37.771082923076925,-122.42528407692308
200907092309,additions alterations or repairs,"preserve, renovate and merge two historical bldg at 2225 and 2255 third st located on same lot into one structure with the address of 2235 third st by constructing 2 levels of prkg, ground fl commercial, storage, day care and 196 res.units.",2009-07-09,2010-12-22,2013-08-28,2016-11-20,12000000,45000000,office,apartments,constr_type_1,Potrero Hill,94107,1178472386360,San Francisco,CA,TRUE,33000000,2010,Dec,2013,Aug,980,3,531,2160,"2255 3rd St,San Francisco,CA,94107",37.761092795918366,-122.38837883673469
200907092309,additions alterations or repairs,"preserve, renovate and merge two historical bldg at 2225 and 2255 third st located on same lot into one structure with the address of 2235 third st by constructing 2 levels of prkg, ground fl commercial, storage, day care and 196 res.units.",2009-07-09,2010-12-22,2013-08-28,2016-11-20,12000000,45000000,office,apartments,constr_type_1,Potrero Hill,94107,1178653387905,San Francisco,CA,TRUE,33000000,2010,Dec,2013,Aug,980,3,531,2160,"2225 3rd St,San Francisco,CA,94107",37.761409020408166,-122.38841281632654
200907092309,additions alterations or repairs,"preserve, renovate and merge two historical bldg at 2225 and 2255 third st located on same lot into one structure with the address of 2235 third st by constructing 2 levels of prkg, ground fl commercial, storage, day care and 196 res.units.",2009-07-09,2010-12-22,2013-08-28,2016-11-20,12000000,45000000,office,apartments,constr_type_1,Potrero Hill,94107,1178654169244,San Francisco,CA,TRUE,33000000,2010,Dec,2013,Aug,980,3,531,2160,"2235 3rd St,San Francisco,CA,94107",37.7613036122449,-122.38840148979592
201506058287,additions alterations or repairs,"(n) addition by wrns studio of a private cinema, office space, lobby, restrooms, projection room, mechanical room.",2015-06-05,2015-08-31,2017-09-07,2021-07-30,12000000,12000000,office,theater,constr_type_1,South of Market,94103,1384214458145,San Francisco,CA,TRUE,0,2015,Aug,2017,Sep,738,2,87,2160,"1275 Market St,San Francisco,CA,94103",37.777559499999995,-122.41564993721423
200610276270,additions alterations or repairs,adaptive remodel of extg levi strauss manufacturing plant. change of use to elementry school. site permit,2006-10-27,2007-08-09,2009-11-10,2012-02-09,11500000,11500000,garment shops,school,wood_frame_5,Mission,94103,1072619157009,San Francisco,CA,TRUE,0,2007,Aug,2009,Nov,824,2,286,1645,"250 Valencia St,San Francisco,CA,94103",37.76893515384615,-122.42237923076922
201106107882,additions alterations or repairs,"complete renovation of exteriior building cladding systems, interior improvements, and new fire life safety systems. structural upgrades will be required in addition to improvements to existing building, mechanical, electrical, and plumbing systems.  total project size is approximately 396,536 gsf.",2011-06-10,2012-05-18,2014-03-26,2018-04-17,9569000,60000000,office,clinics-medic/dental,constr_type_1,South of Market,94103,1240619449597,San Francisco,CA,TRUE,50431000,2012,May,2014,Mar,677,2,343,2160,"155 5th St,San Francisco,CA,94103",37.78175779591837,-122.40510997959183
200908124639,additions alterations or repairs,per sf planning motion 17797 permitting the conversion of existing theater to mix use building with residential condominiums at the four upper floors. commercial units on 1st floor and 1 subterranean floor as parking garage with 27 parking spaces.full bar & restaurant&commercial space.,2009-08-12,2015-02-24,2018-12-19,2021-01-23,7500000,10559748,theater,apartments,constr_type_1,Chinatown,94133,118152458893,San Francisco,CA,TRUE,3059748,2015,Feb,2018,Dec,1394,3,2022,2160,"1731 Powell St,San Francisco,CA,94133",37.80045514285714,-122.41098273469387
200908124639,additions alterations or repairs,per sf planning motion 17797 permitting the conversion of existing theater to mix use building with residential condominiums at the four upper floors. commercial units on 1st floor and 1 subterranean floor as parking garage with 27 parking spaces.full bar & restaurant&commercial space.,2009-08-12,2015-02-24,2018-12-19,2021-01-23,7500000,10559748,theater,apartments,constr_type_1,Chinatown,94133,1181525377107,San Francisco,CA,TRUE,3059748,2015,Feb,2018,Dec,1394,3,2022,2160,"1741 Powell St,San Francisco,CA,94133",37.800490857142854,-122.41098997959183
201303252972,additions alterations or repairs,altered site permit for record purposes only to issued site permit 2011-08-01-1461/s  - additional 3 stories from 27 to 30.,2013-03-25,2014-01-10,2017-03-23,2017-12-20,7500000,7500000,vacant lot,office,constr_type_1,Financial District/South Beach,94105,1299761164586,San Francisco,CA,TRUE,0,2014,Jan,2017,Mar,1168,3,291,1440,"350 Mission St,San Francisco,CA,94105",37.79087225,-122.39672035000001
200305154682,additions alterations or repairs,construction of 112 residential units on 4 floors over 2 levels of parking and retail,2003-05-15,2003-10-01,2006-11-09,2008-04-01,7500000,15390000,office,apartments,wood_frame_5,Financial District/South Beach,94107,958168365109,San Francisco,CA,TRUE,7890000,2003,Oct,2006,Nov,1135,3,139,1644,"88 Townsend St,San Francisco,CA,94107",37.7808814117647,-122.39032735294117
200305154682,additions alterations or repairs,construction of 112 residential units on 4 floors over 2 levels of parking and retail,2003-05-15,2003-10-01,2006-11-09,2008-04-01,7500000,15390000,office,apartments,wood_frame_5,Financial District/South Beach,94107,958169167841,San Francisco,CA,TRUE,7890000,2003,Oct,2006,Nov,1135,3,139,1644,"88 Townsend St,San Francisco,CA,94107",37.7808814117647,-122.39032735294117
200407290138,additions alterations or repairs,"convert (e) office building into residential bulding per sec. 309, downtown permit review=20040551x*",2004-07-29,2005-05-23,2007-07-13,2009-11-23,7500000,7500000,office,apartments,constr_type_1,Financial District/South Beach,94104,98746966060,San Francisco,CA,TRUE,0,2005,May,2007,Jul,781,2,298,1645,"201 Sansome St,San Francisco,CA,94104",37.792217,-122.40106
200505021337,additions alterations or repairs,renovation of existing 5 story on reinforced masonry bldg to comprise 45 residen'l units above off street enclosed parking.,2005-05-02,2006-07-20,2007-03-23,2009-07-20,7000000,13310000,office,apartments,constr_type_1,South of Market,94107,1014276435921,San Francisco,CA,TRUE,6310000,2006,Jul,2007,Mar,246,1,444,1096,"310 Townsend St,San Francisco,CA,94107",37.77689846938775,-122.39536948979593
200608290851,additions alterations or repairs,*site permit * - 4-story vertical addition. chagne of use to residential.,2006-08-29,2010-08-12,2012-12-28,2016-07-11,7000000,16000000,office,apartments,constr_type_3,Financial District/South Beach,94107,1065388368281,San Francisco,CA,TRUE,9000000,2010,Aug,2012,Dec,869,2,1444,2160,"178 Townsend St,San Francisco,CA,94107",37.7756313,-122.396903
201212075673,additions alterations or repairs,"mechanical, electrical, and plumbing for core and shell. improvements to coincide with architectural/structural improvement submitted under 2012-0905-8914",2012-12-07,2013-05-17,2014-06-03,2017-04-26,7000000,7000000,office,retail sales,constr_type_1,South of Market,94103,1290403156294,San Francisco,CA,TRUE,0,2013,May,2014,Jun,382,1,161,1440,"875 Stevenson St,San Francisco,CA,94103",37.77619046938776,-122.416624
201504163820,additions alterations or repairs,"new clinic build out includes new 2/f, inclu new floor slab and struct framing. full build out of 5 floors w/new partitions, plumbing, mech, elec.signage, level 5 will house out patient clinic (oshpd 3 requirements) an awning and signage wil be mounted on mission st facade, deck, planters and roof",2015-04-16,2016-05-11,2017-06-09,2020-04-20,6900000,6900000,"warehouse,no frnitur",clinics-medic/dental,constr_type_2,Mission,94103,1378316156390,San Francisco,CA,TRUE,0,2016,May,2017,Jun,394,1,391,1440,"1563 Mission St,San Francisco,CA,94103",37.7732645,-122.41812399999999
201005142521,additions alterations or repairs,"conversion of former juvenie detention center to 76 apts low income seismic upgrade, mep,finishes upgrade. new fire & sprinkler system, new pg&e vod vault, new elevator tower and new decks at back of the bldg, existing high rise.",2010-05-14,2011-01-07,2013-02-20,2016-12-06,6500000,6500000,jail,apartments,constr_type_1,Mission,94103,1227608474416,San Francisco,CA,TRUE,0,2011,Jan,2013,Feb,775,2,238,2160,"150 Otis St,San Francisco,CA,94103",37.7708531,-122.4204573368532
201507161644,additions alterations or repairs,construct 9-story mixed-use w/ 2 commercial ground floor lease spaces and 8-story of residential w/ 37 units above.,2015-07-16,2016-05-09,2018-07-20,2022-04-08,6500000,11466000,retail sales,apartments,constr_type_1,Nob Hill,94109,138862678404,San Francisco,CA,TRUE,4966000,2016,May,2018,Jul,802,2,298,2160,"1238 Sutter St,San Francisco,CA,94109",37.78776896666667,-122.42067771666667
201208288410,additions alterations or repairs,change of use from single family home to school. expand existing mezzanine to be a full floor. minor exterior change.,2012-08-28,2013-05-16,2015-04-03,2019-04-15,6250000,6250000,1 family dwelling,school,constr_type_3,Mission,94110,1280871161007,San Francisco,CA,TRUE,0,2013,May,2015,Apr,687,2,261,2160,"601 Dolores St,San Francisco,CA,94110",37.759719,-122.425719
201107089760,new construction,"new 2 story fire house to include 3 apparatus bay and equipment storage, living and dining rooms, fitness room, locker room and sleeping rooms.",2011-07-08,2012-04-06,2014-03-05,2018-03-06,6000000,6000000,garment shops,sfpd or sffd station,constr_type_2,South of Market,94107,1243174166255,San Francisco,CA,TRUE,0,2012,Apr,2014,Mar,698,2,273,2160,"935 Folsom St,San Francisco,CA,94107",37.77961695454545,-122.40405995454546
9823544S,additions alterations or repairs,to expand (e) 5 story type i bldg with vert & horiz addition,1998-11-14,1999-04-03,2002-07-19,2003-10-03,6000000,3000000,retail sales,apartments,constr_type_2,North Beach,94133,799679382228,San Francisco,CA,TRUE,-3000000,1999,Apr,2002,Jul,1203,3,140,1644,"445 Francisco St,San Francisco,CA,94133",37.804717326530614,-122.41251181632653
201512175338,additions alterations or repairs,revision to pa# 2013/09/04/5886 s-2. added one transformer room for ac revision. added ac unit support on roof. revise garage b entrance.** maher: n/a **,2015-12-17,2016-07-27,2018-12-03,2020-07-06,5700000,5700000,vacant lot,apartments,constr_type_1,South of Market,94103,1406850167598,San Francisco,CA,TRUE,0,2016,Jul,2018,Dec,859,2,223,1440,"801 Brannan St,San Francisco,CA,94103",37.77300125,-122.40341408333335
200210017875,additions alterations or repairs,exterior: installation of approved (c of a) storefront addition of balconies and glass railings roof,2002-10-01,2003-06-23,2005-02-02,2007-12-23,5500000,6753437,office,apartments,constr_type_1,Financial District/South Beach,94108,100171966990,San Francisco,CA,TRUE,1253437,2003,Jun,2005,Feb,590,2,265,1644,"333 Grant Av,San Francisco,CA,94108",37.7901838,-122.4057799
200404090900,additions alterations or repairs,"install new t.i. for california culinary academ & install teaching kitchens,class room etc.new exter",2004-04-09,2004-07-29,2005-02-07,2007-01-29,5000000,5000000,office,school,constr_type_1,Mission Bay,94103,975925370196,San Francisco,CA,TRUE,0,2004,Jul,2005,Feb,193,1,111,914,"350 Rhode Island St,San Francisco,CA,94103",37.76541130612245,-122.40272648979591
201607152520,additions alterations or repairs,"new non structural partitions new mechanical, plumbing and electrical. new finishes and fixtures. change of use from garment factory to laboratory.** maher: n/a **",2016-07-15,2016-12-27,2017-08-11,2020-12-06,4800000,4800000,garment shops,clinics-medic/dental,constr_type_3,Mission Bay,94103,1430267168094,San Francisco,CA,TRUE,0,2016,Dec,2017,Aug,227,1,165,1440,"1400 16th St,San Francisco,CA,94103",37.766263,-122.400918
200101240467,additions alterations or repairs,work includes structural alt/aptmnt renovatn/accessibility upgrade gr fl egress sidewlk vault,2001-01-24,2001-11-07,2004-10-26,2005-08-07,4500000,4500000,apartments,office,constr_type_3,Tenderloin,94102,86682269972,San Francisco,CA,TRUE,0,2001,Nov,2004,Oct,1084,3,287,1369,"34 Turk St,San Francisco,CA,94102",37.78342723728813,-122.40974905084747
201312194666,additions alterations or repairs,"interior commercial tenant improvement & fit-out of (e) bldg totalling approx 75,000 sq ft. improvements comprise open office w/ distributed offices & mtg rms, pantrys, break area, (n) 1-story staircase element & storage rooms. (interim controls see attached).",2013-12-19,2014-03-31,2014-06-18,2018-03-10,4200000,5197500,office,public assmbly other,constr_type_3,South of Market,94103,1327700380475,San Francisco,CA,TRUE,997500,2014,Mar,2014,Jun,79,0,102,1440,"1017 Market St,San Francisco,CA,94103",37.781775530612244,-122.41059610204081
201312194666,additions alterations or repairs,"interior commercial tenant improvement & fit-out of (e) bldg totalling approx 75,000 sq ft. improvements comprise open office w/ distributed offices & mtg rms, pantrys, break area, (n) 1-story staircase element & storage rooms. (interim controls see attached).",2013-12-19,2014-03-31,2014-06-18,2018-03-10,4200000,5197500,office,public assmbly other,constr_type_3,South of Market,94103,1327701164359,San Francisco,CA,TRUE,997500,2014,Mar,2014,Jun,79,0,102,1440,"1019 Market St,San Francisco,CA,94103",37.7817366,-122.410617
200412282224,additions alterations or repairs,conversion of existin goffice building into a residential bldg. consisting of 69 dwelling units. exterior work includes replacement of windows in existing openings to provide natural ventilation and improve day-lighting. change of occupancy.,2004-12-28,2006-02-06,2007-12-03,2009-11-06,4000000,4000000,retail sales,apartments,constr_type_1,Financial District/South Beach,94111,100257161380,San Francisco,CA,TRUE,0,2006,Feb,2007,Dec,665,1,405,1369,"733 Front St,San Francisco,CA,94111",37.797966599999995,-122.40009845695057
200710185824,additions alterations or repairs,"revision to appl#9825929-s & 200610195538, change unit count from 92 to 88. revise previously approved site permit 9825929-s, renewed under app#200610195538, for interior renovation to existing bldg. with new 88 apartments & 1 commercial unit. no change to exterior bldg. ht. and bulk.",2007-10-18,2008-12-22,2014-08-18,2012-12-01,4000000,4000000,office,apartments,constr_type_2,Tenderloin,94102,1113057301305,San Francisco,CA,TRUE,0,2008,Dec,2014,Aug,2065,6,431,1440,"277 Golden Gate Av,San Francisco,CA,94102",37.781505550000006,-122.41501741757513
200809161710,additions alterations or repairs,"change of use from auto repair garage to school. renovation of (e) building for instructional use (school). no additional area to be added, interior demo work-new interior walls, mechanical, electrical system, perform code required seismic upgrade.",2008-09-16,2009-01-13,2010-02-25,2012-12-23,4000000,5000000,auto repairs,school,constr_type_3,Hayes Valley,94102,114981282651,San Francisco,CA,TRUE,1000000,2009,Jan,2010,Feb,408,1,119,1440,"66 Page St,San Francisco,CA,94102",37.774414449999995,-122.42189312397785
201307292946,additions alterations or repairs,"change of use.renov incl seismic strengtheing.install new core elements,remov grd fl walls&replace columns.install new exterior cladding over approx 40%of(e)exterior walls.new mech,elec,plumb&fire protection system & t.i. under separate permit.",2013-07-29,2014-01-14,2015-01-12,2019-12-14,4000000,4000000,prkng garage/private,food/beverage hndlng,constr_type_3,Financial District/South Beach,94105,1312440165579,San Francisco,CA,TRUE,0,2014,Jan,2015,Jan,363,1,169,2160,"690 Folsom St,San Francisco,CA,94105",37.7841938,-122.3992122
201104013334,additions alterations or repairs,"interior tenant improvement, including drywall, ceilings doors, millwork, glazing, finishes. change of use to include adult educational facility.  mep, demolition & structural, under separate permit.",2011-04-01,2011-08-02,2012-07-19,2015-07-12,3900000,3900000,office,school,constr_type_1,Financial District/South Beach,94105,1234488165704,San Francisco,CA,TRUE,0,2011,Aug,2012,Jul,352,1,123,1440,"2 Harrison St,San Francisco,CA,94105",37.7896119,-122.389071
201006255345,additions alterations or repairs,1st & 2nd flrs a second generation tenant improvement within existing building including the addition of walls and doors.,2010-06-25,2010-09-10,2011-04-12,2014-08-20,3600000,3600000,office,school,constr_type_2,South of Market,94103,1210273384462,San Francisco,CA,TRUE,0,2010,Sep,2011,Apr,214,1,77,1440,"875 Howard St,San Francisco,CA,94103",37.7818402,-122.4038851
201505115944,otc alterations permit,"3rd floor building under construction - 1st time full floor tenant improvement with new non-bearing partitions, break room, conference rooms. fire alarm & sprinklers on separate permit. new construction #2013.1217.4402. no final until core & shell is complete. n/a maher ordinance.",2015-05-11,2015-09-02,2017-08-31,2019-08-12,3562089,3562089,vacant lot,office,constr_type_1,Financial District/South Beach,94107,1381154167192,San Francisco,CA,TRUE,0,2015,Sep,2017,Aug,729,2,114,1440,"270 Brannan St,San Francisco,CA,94107",37.782599,-122.391271
200411229881,additions alterations or repairs,"adaptive re-use of e church into senior apts, preserve building shell, create 4 stories within seism",2004-11-22,2005-09-30,2007-10-31,2008-03-31,3500000,3500000,church,apartments,constr_type_2,Haight Ashbury,94117,1030892437179,San Francisco,CA,TRUE,0,2005,Sep,2007,Oct,761,2,312,913,"1250 Haight St,San Francisco,CA,94117",37.770839699999996,-122.44283437837781
201105246683,additions alterations or repairs,"change of use in basement ground and mezzanine. interior tenant improvement. new basement kitchen, new small coffee bar at g/f. new steel stairs at each floor. new storefront enclosure at interior atrium at 2nd & 3rd floor. change in use at basement ground and mezzanine (m to b).",2011-05-24,2011-09-30,2012-02-06,2015-09-09,3500000,3500000,retail sales,office,constr_type_2,Financial District/South Beach,94108,123904069296,San Francisco,CA,TRUE,0,2011,Sep,2012,Feb,129,1,129,1440,"101 Post St,San Francisco,CA,94108",37.7887697,-122.403832
201308305692,additions alterations or repairs,change of occupancy. from b to r-2 and a-3. exterior demo window & door openings. interior structural demo & voluntary seismic upgrades of roof and wall stiffening at new elevators.,2013-08-30,2014-05-08,2016-06-21,2018-04-17,3500000,4000000,office,apartments,wood_frame_5,Hayes Valley,94102,1316083490816,San Francisco,CA,TRUE,500000,2014,May,2016,Jun,775,2,251,1440,"229 Haight St,San Francisco,CA,94102",37.7731877,-122.4220371
200010062476,additions alterations or repairs,renovation of (e) 1 story over basement bldg basement to be used for garage g/f retail & 15 resident,2000-10-06,2001-02-08,2007-10-02,2004-11-08,3500000,3500000,retail sales,apartments,constr_type_3,Nob Hill,94109,868177388528,San Francisco,CA,TRUE,0,2001,Feb,2007,Oct,2427,6,125,1369,"1314 Polk St,San Francisco,CA,94109",37.788945,-122.4202515
200106292660,additions alterations or repairs,"minor demo of drywall partitions, new conf rm;dev. of 9th flr terraces;chg use fr b to a-3;",2001-06-29,2002-02-01,2004-06-17,2004-08-01,3500000,3500000,office,food/beverage hndlng,constr_type_1,Financial District/South Beach,94105,881472165668,San Francisco,CA,TRUE,0,2002,Feb,2004,Jun,867,2,217,912,"215 Fremont St,San Francisco,CA,94105",37.78907469230769,-122.39480430769231
200404272369,additions alterations or repairs,"convert (e) 5 story, 1 basement umb commercial/retail to 5 story, 1 basement",2004-04-27,2005-07-28,2007-02-01,2009-04-28,3500000,3500000,office,apartments,constr_type_3,Tenderloin,94102,97771370100,San Francisco,CA,TRUE,0,2005,Jul,2007,Feb,553,2,457,1370,"83 Mcallister St,San Francisco,CA,94102",37.78087272413793,-122.41344503448276
201205160614,additions alterations or repairs,"proposed 3 level fitness ctr occupying an (e) 54,000 sf (3) level bldg. fitness ctr will consist of arears for weight training cardio & circuit trainging, basketball, racquetball, lap pool & spa. area for new membership sales & child care also provided. fire sprklr, alarm & signage under sep permit",2012-05-16,2012-09-21,2013-11-15,2018-08-21,3300000,3300000,retail sales,health studios & gym,constr_type_2,Lakeshore,94132,1270720226171,San Francisco,CA,TRUE,0,2012,Sep,2013,Nov,420,1,128,2160,"3251 20th Av,San Francisco,CA,94132",37.7277353,-122.4766546
201206082224,additions alterations or repairs,"project consists of seismic upgrades to building's structural system, renovations to building's core & shell & interior improvement throughout (interior improvements to be documented & permitted under separate scope of work). note:  occupant load verification required under separate permit.",2012-06-08,2013-05-02,2015-06-22,2017-04-11,3289287,3289287,retail sales,workshop commercial,constr_type_3,Tenderloin,94102,127286569388,San Francisco,CA,TRUE,0,2013,May,2015,Jun,781,2,328,1440,"459 Geary St,San Francisco,CA,94102",37.7869478602168,-122.41080116179863
201511203222,additions alterations or repairs,"t.i. of (e) basement, 1/f-6/f into 4 food facilities: (1) bakery, (2) bistro restaurant, (3) bar & (4) fine dining restaurant. scope of work includes (n) accessibile restrooms, (n) stair, (n) partitions, (n) kitchen and (n) dining areas throughout. n/a ordinance #155-13",2015-11-20,2017-10-16,2019-04-29,2021-09-25,3055000,3055000,retail sales,food/beverage hndlng,constr_type_1,Financial District/South Beach,94102,140412069772,San Francisco,CA,TRUE,0,2017,Oct,2019,Apr,560,2,696,1440,"165 Ofarrell St,San Francisco,CA,94102",NA,NA
200411300290,additions alterations or repairs,"propose to remodel level 3 to 5 from office space to rental units, o changes on 2nd fl. minor **",2004-11-30,2005-09-15,2006-09-01,2008-03-15,3000000,4250000,office,apartments,constr_type_1,North Beach,94133,1000215347241,San Francisco,CA,TRUE,1250000,2005,Sep,2006,Sep,351,1,289,912,"2351 Powell St,San Francisco,CA,94133",37.80628553061224,-122.41214944897959
200702164390,additions alterations or repairs,change of use from office to 16 dwelling units. structural upgrade and new m.e.p. fire alarm and sprinklers udner seperate permit.,2007-02-16,2007-12-18,2009-03-13,2010-06-18,3000000,4469992,office,apartments,wood_frame_5,Potrero Hill,94107,1083828454429,San Francisco,CA,TRUE,1469992,2007,Dec,2009,Mar,451,2,305,913,"888 Minnesota St,San Francisco,CA,94107",37.75920688888889,-122.3904438888889
